name,hex,basic name
Barberry Yellow,#f3bd32,Bright Amber-Orange
Barbie Pink,#fe46a5,Bright Pink
Barcelona Beige,#c4b39c,Light Gray Amber-Orange
Barcelona Brown,#926a46,Muted Orange
Barcelona Orange,#ff9500,Bright Orange
Bare,#817e6d,Gray Yellow
Bare Beige,#e8d3c9,Light Gray Orange
Bare Bone,#eeddcc,Light Gray Orange
Bare Pink,#f2e1dd,Light Gray Orange
Barely Aqua,#bae9e0,Light Gray Cyan
Barely Bloomed,#ddaadd,Light Gray Magenta
Barely Blue,#dde0df,Light Gray Teal
Barely Brown,#dd6655,Light Muted Red
Barely Butter,#f8e9c2,Bright Amber-Orange
Barely Mauve,#ccbdb9,Light Gray
Barely Peach,#ffe9c7,Bright Amber-Orange
Barely Pear,#edebdb,Light Gray Yellow
Barely Pink,#f8d7dd,Light Gray Rose
Barely Ripe Apricot,#ffe3cb,Bright Orange
Barely Rose,#ede0e3,Light Gray Red
Barely White,#e1e3dd,Light Gray Chartreuse-Green
Barf Green,#94ac02,Deep Yellow
Bargeboard Brown,#68534a,Gray Orange
Barista,#bcafa2,Light Gray Amber-Orange
Barite,#9e7b5c,Gray Orange
Baritone,#708e95,Gray Cyan
Barium,#f4e1c5,Light Muted Amber-Orange
Barium Green,#8fff9f,Bright Green
Bark,#5f5854,Gray Orange
Bark Brown,#73532a,Muted Orange
Bark Sawdust,#ab9004,Deep Amber-Orange
Barking Prairie Dog,#c5b497,Light Gray Amber-Orange
Barley,#d5b37e,Light Muted Amber-Orange
Barley Corn,#b6935c,Light Muted Amber-Orange
Barley Field,#c7bcae,Light Gray Amber-Orange
Barley Groats,#fbf2db,Bright Amber-Orange
Barley White,#f7e5b7,Bright Amber-Orange
Barn Door,#8e5959,Gray Red
Barn Red,#8b4044,Muted Red
Barn Swallow,#4d332a,Dark Muted Orange
Barney,#ac1db8,Bright Magenta
Barney Purple,#a00498,Deep Magenta
Barnfloor,#9c9480,Gray Amber-Orange
Barnwood,#554d44,Dark Gray Orange
Barnwood Ash,#87857e,Gray Amber-Orange
Barnwood Grey,#9e9589,Gray Amber-Orange
Barnyard Grass,#5dac51,Muted Green
Barolo,#71000e,Deep Red
Baroness,#a785a7,Gray Magenta
Baroness Mauve,#847098,Gray Purple
Baronial Brown,#5a4840,Dark Gray Orange
Baroque,#ddaa22,Bright Amber-Orange
Baroque Blue,#95b6b5,Light Gray Teal
Baroque Chalk Soft Blue,#aecccb,Light Gray Teal
Baroque Grey,#5f5d64,Gray Purple
Baroque Red,#7b4f5d,Gray Rose
Baroque Rose,#b35a66,Muted Red
Barossa,#452e39,Dark Gray Rose
Barrel,#f0b069,Bright Amber-Orange
Barrel Aged,#8b6945,Muted Orange
Barrel Stove,#8e7e67,Gray Amber-Orange
Barren,#b9aba3,Gray Orange
Barrett Quince,#f5d1b2,Bright Amber-Orange
Barricade,#84623e,Muted Orange
Barrier Reef,#009bb5,Deep Cyan
Barro Verde,#9f8e71,Gray Amber-Orange
Basalt,#989998,Gray Green
Basalt Black,#4d423e,Dark Gray Orange
Base Camp,#575c3a,Dark Muted Chartreuse-Green
Base Sand,#bb9955,Light Muted Amber-Orange
Baseball Base,#f4eadc,Light Gray Orange
Bashful,#e3eded,Light Gray Teal
Bashful Blue,#6994cf,Light Muted Turquoise
Bashful Emu,#b2b0ac,Gray Amber-Orange
Bashful Lilac,#d0d2e3,Light Gray Blue
Bashful Pansy,#d9cde5,Light Gray Purple
Bashful Rose,#b88686,Light Gray Red
Basic Coral,#dbc3b6,Light Gray Orange
Basic Khaki,#c3b69f,Light Gray Amber-Orange
Basil,#879f84,Gray Green
Basil Chiffonade,#828249,Muted Yellow
Basil Green,#54622e,Dark Muted Chartreuse-Green
Basil Icing,#e2e6db,Light Gray Chartreuse-Green
Basil Mauve,#6c5472,Gray Magenta
Basil Pesto,#529d6e,Muted Green
Basil Smash,#b7e1a1,Light Gray Green-Yellow
Basilica Blue,#4a9fa7,Muted Cyan
Basilisk,#9ab38d,Gray Green-Yellow
Basilisk Lizard,#bcecac,Light Muted Green-Yellow
Basin Blue,#b9dee4,Light Gray Cyan
Basket Beige,#c0a98b,Light Gray Amber-Orange
Basket of Gold,#f4cc3c,Bright Amber-Orange
Basketball,#ee6730,Bright Orange
Basketry,#bda286,Light Gray Amber-Orange
Basketweave Beige,#caad92,Light Gray Orange
Basmati White,#ebe1c9,Light Gray Amber-Orange
Basque Green,#5f6033,Dark Muted Yellow
Bassinet,#d3c1cb,Light Gray Pink
Basswood,#c9b196,Light Gray Amber-Orange
Basswood Green,#839e83,Gray Green
Bastard-amber,#ffcc88,Bright Amber-Orange
Bastille,#2c2c32,Dark Gray Blue
Bastion Grey,#4d4a4a,Dark Gray
Bat Wing,#7e7466,Gray Amber-Orange
Bat-Signal,#feff00,Bright Yellow
Bat’s Blood Soup,#ee3366,Bright Rose
Batch Blue,#87b2c9,Light Muted Turquoise
Bateau,#1b7598,Deep Turquoise
Bateau Brown,#7a5f5a,Gray Red
Bath,#d8e9db,Light Gray Green
Bath Bubbles,#e6f2ea,Light Gray Green
Bath Green,#0a696a,Deep Cyan
Bath Salt Green,#bbded7,Light Gray Teal
Bath Turquoise,#62baa8,Light Muted Teal
Bath Water,#88eeee,Bright Cyan
Bathe Blue,#c2e0e3,Light Gray Cyan
Bathing,#93c9d0,Light Gray Cyan
Batik Lilac,#7e738b,Gray Purple
Batik Pink,#9c657e,Gray Rose
Batman,#656e72,Gray Turquoise
Batman’s NES Cape,#940084,Deep Magenta
Baton,#866f5a,Gray Orange
Baton Rouge,#973c6c,Muted Rose
Bats Cloak,#1f1518,Dark Gray Rose
Battered Sausage,#ede2d4,Light Gray Orange
Battery Charged Blue,#1dacd4,Bright Turquoise
Battle Blue,#74828f,Gray Turquoise
Battle Cat,#2b7414,Deep Green-Yellow
Battle Dress,#7e8270,Gray Chartreuse-Green
Battle Harbor,#9c9c82,Gray Yellow
Battleship,#9c9895,Gray Orange
Battleship Green,#828f72,Gray Chartreuse-Green
Battleship Grey,#6f7476,Gray Turquoise
Battletoad,#11cc55,Bright Green
Batu Cave,#595438,Dark Muted Yellow
Bauhaus,#3f4040,Dark Gray Teal
Bauhaus Blue,#006392,Deep Turquoise
Bauhaus Buff,#cfb49e,Light Gray Orange
Bauhaus Gold,#b0986f,Muted Orange
Bauhaus Tan,#ccc4ae,Light Gray Amber-Orange
Bavarian,#4d5e42,Dark Gray Green-Yellow
Bavarian Blue,#1c3382,Deep Blue
Bavarian Cream,#fff9dd,Bright Yellow
Bavarian Gentian,#20006d,Deep Purple
Bavarian Green,#749a54,Muted Green-Yellow
Bavarian Sweet Mustard,#4d3113,Dark Orange
Bay,#b3e2d3,Light Gray Teal
Bay Area,#afa490,Gray Amber-Orange
Bay Brown,#773300,Deep Orange
Bay Fog,#9899b0,Gray Blue
Bay Isle Pointe,#214048,Dark Muted Cyan
Bay Leaf,#86793d,Muted Yellow
Bay of Hope,#bfc9d0,Light Gray Turquoise
Bay of Many,#353e64,Dark Muted Blue
Bay Salt,#d2cdbc,Light Gray Amber-Orange
Bay Scallop,#fbe6cd,Bright Amber-Orange
Bay Site,#325f8a,Muted Turquoise
Bay View,#6a819e,Gray Turquoise
Bay Water,#aaad94,Gray Chartreuse-Green
Bay Wharf,#747f89,Gray Turquoise
Bay’s Water,#7b9aad,Gray Turquoise
Bayberry,#275a5d,Dark Muted Cyan
Bayberry Frost,#d0d9c7,Light Gray Green-Yellow
Bayberry Wax,#b6aa89,Light Gray Amber-Orange
Bayern Blue,#0098d4,Bright Turquoise
Bayou,#268483,Muted Cyan
Bayshore,#89cee0,Light Muted Cyan
Bayshore Blue,#8ea6ba,Light Gray Turquoise
Bayside,#5fc9bf,Light Muted Teal
Baywater Blue,#c9d8e4,Light Gray Turquoise
Bazaar,#8f7777,Gray Red
Bazooka Pink,#ffa6c9,Bright Rose
BBQ,#a35046,Muted Red
Be Daring,#ffc943,Bright Amber-Orange
Be Mine,#f4e3e7,Light Gray Rose
Be My Valentine,#ec9dc3,Light Muted Rose
Be Spontaneous,#a5cb66,Light Muted Chartreuse-Green
Be Yourself,#9b983d,Muted Yellow
Beach,#efe4bb,Light Muted Yellow
Beach Bag,#adb864,Light Muted Chartreuse-Green
Beach Ball,#efc700,Bright Yellow
Beach Blue,#5f9ca2,Gray Cyan
Beach Boardwalk,#ceab90,Light Gray Orange
Beach Cabana,#a69081,Gray Orange
Beach Casuarina,#665a38,Muted Amber-Orange
Beach Coast Buff,#caab84,Light Muted Amber-Orange
Beach Cottage,#94adb0,Gray Cyan
Beach Dune,#c6bb9c,Light Gray Amber-Orange
Beach Foam,#cde0e1,Light Gray Cyan
Beach Glass,#96dfce,Light Muted Teal
Beach Grass,#dcddb8,Light Gray Yellow
Beach House,#edd481,Bright Amber-Orange
Beach Lilac,#bda2c4,Light Gray Magenta
Beach Party,#fbd05c,Bright Amber-Orange
Beach Sand,#fbb88b,Bright Orange
Beach Towel,#fce3b3,Bright Amber-Orange
Beach Trail,#fedeca,Bright Orange
Beach Umbrella,#819aaa,Gray Turquoise
Beach View,#4f7694,Muted Turquoise
Beach White,#f6eed6,Light Gray Amber-Orange
Beach Wind,#dce1e2,Light Gray Cyan
Beach Woods,#cac0b0,Light Gray Amber-Orange
Beachcomber,#d8e3e5,Light Gray Cyan
Beachcombing,#e4c683,Light Muted Amber-Orange
Beaches of Cancun,#fbedd7,Bright Amber-Orange
Beachside Drive,#acdbdb,Light Gray Cyan
Beachside Villa,#c3b296,Light Gray Amber-Orange
Beachwalk,#d2b17a,Light Muted Amber-Orange
Beachy Keen,#e6d0b6,Light Gray Orange
Beacon Blue,#265c98,Deep Blue
Beacon Yellow,#f2c98a,Bright Amber-Orange
Beaded Blue,#494d8b,Muted Blue
Beagle Brown,#8d6737,Muted Orange
Beaming Blue,#33ffff,Bright Cyan
Beaming Sun,#fff8df,Bright Amber-Orange
Bean,#4a1207,Dark Red
Bean Counter,#68755d,Gray Green-Yellow
Bean Green,#685c27,Dark Muted Yellow
Bean Pot,#8b6b51,Muted Orange
Bean Shoot,#91923a,Muted Yellow
Bean Sprout,#f3f9e9,Light Gray Chartreuse-Green
Bean White,#ebf0e4,Light Gray Chartreuse-Green
Beanstalk,#31aa74,Light Muted Teal
Bear,#766e65,Gray Orange
Bear Brown,#44382b,Dark Muted Orange
Bear Claw,#ae6b52,Light Muted Orange
Bear Creek,#836452,Gray Orange
Bear Hug,#796359,Gray Orange
Bear in Mind,#5b4a44,Dark Gray Orange
Bear Rug,#5a4943,Dark Gray Orange
Bearsuit,#7d756d,Gray Orange
Beast Hide,#b08f69,Muted Orange
Beastly Red,#680c08,Deep Red
Beasty Brown,#663300,Deep Orange
Beat Around the Bush,#6e6a44,Muted Yellow
Beaten Copper,#73372d,Muted Red
Beaten Purple,#4e0550,Dark Magenta
Beaten Track,#d1be92,Light Gray Amber-Orange
Beating Around the Bush,#448844,Muted Green
Beatnik,#5f8748,Muted Green-Yellow
Beau Blue,#bcd4e6,Light Gray Turquoise
Beau Monde,#7db39e,Gray Teal
Beau Vert,#0c6064,Deep Cyan
Beaujolais,#80304c,Muted Rose
Beaumont Brown,#92774c,Muted Orange
Beauport Aubergine,#553f44,Dark Gray Red
Beautiful Blue,#186db6,Bright Turquoise
Beautiful Darkness,#686d70,Gray Turquoise
Beautiful Dream,#b6c7e3,Light Gray Turquoise
Beautiful Mint,#8da936,Light Muted Chartreuse-Green
Beauty,#866b8d,Gray Magenta
Beauty and the Beach,#c99680,Light Muted Orange
Beauty Bush,#ebb9b3,Light Gray Red
Beauty Patch,#834f44,Muted Red
Beauty Queen,#be5c87,Light Muted Rose
Beauty Secret,#c79ea2,Light Gray Red
Beauty Spot,#604938,Dark Muted Orange
Beaver,#926f5b,Gray Orange
Beaver Fur,#997867,Gray Orange
Beaver Kit,#9f8170,Gray Orange
Beaver Pelt,#60564c,Dark Gray Orange
Béchamel,#f4eee0,Light Gray Amber-Orange
Becker Blue,#607879,Gray Cyan
Becker Gold,#7f7353,Gray Amber-Orange
Beckett,#85a699,Gray Teal
Becquerel,#4bec13,Bright Green-Yellow
Bed of Roses,#b893ab,Gray Pink
Bedazzled,#d3b9cc,Light Gray Pink
Bedbox,#968775,Gray Orange
Bedford Brown,#aa8880,Gray Red
Bedrock,#9e9d99,Gray Yellow
Bedtime Story,#e1b090,Light Muted Orange
Bee,#f1ba55,Bright Amber-Orange
Bee Cluster,#ffaa33,Bright Orange
Bee Hall,#f2cc64,Bright Amber-Orange
Bee Master,#735b3b,Muted Orange
Bee Pollen,#ebca70,Bright Amber-Orange
Bee Yellow,#feff32,Bright Yellow
Bee’s Knees,#e8d9d2,Light Gray Orange
Bee’s Wax,#eabf86,Light Muted Amber-Orange
Beech,#5b4f3b,Dark Muted Amber-Orange
Beech Brown,#574128,Dark Muted Orange
Beech Fern,#758067,Gray Chartreuse-Green
Beech Nut,#d7b59a,Light Gray Orange
Beechnut,#c2c18d,Light Gray Yellow
Beechwood,#6e5955,Gray Red
Beef Bourguignon,#b64701,Bright Orange
Beef Hotpot,#a85d2e,Light Muted Orange
Beef Jerky,#a25768,Muted Red
Beef Noodle Broth,#8a4512,Deep Orange
Beef Patties,#bb5533,Light Muted Orange
Beefy Pink,#debeef,Light Gray Magenta
Beehive,#e1b781,Light Muted Amber-Orange
Beekeeper,#f6e491,Bright Yellow
Beer,#fcaa12,Bright Amber-Orange
Beer Garden,#449933,Muted Green
Beer Glazed Bacon,#773311,Deep Orange
Beeswax,#e9d7ab,Light Muted Amber-Orange
Beeswax Candle,#bf7e41,Light Muted Orange
Beeswing,#f5d297,Bright Amber-Orange
Beet Red,#7e203f,Deep Rose
Beetiful Magenta,#90306a,Muted Pink
Beetle,#55584c,Dark Gray Chartreuse-Green
Beetroot,#663f44,Muted Red
Beetroot Purple,#d33376,Light Muted Rose
Beetroot Rice,#c58f9d,Light Gray Rose
Beets,#736a86,Gray Purple
Befitting,#96496d,Muted Rose
Before the Storm,#4d6a77,Gray Turquoise
Before Winter,#bd6f56,Light Muted Orange
Beggar,#5a4d39,Dark Muted Amber-Orange
Begonia,#fa6e79,Bright Red
Begonia Pink,#ec9abe,Light Muted Rose
Begonia Rose,#c3797f,Light Muted Red
Beguiling Blue,#5e6f8e,Gray Blue
Beguiling Mauve,#afa7ac,Gray Pink
Beige,#e6daa6,Light Muted Yellow
Beige and Sage,#bbc199,Light Gray Chartreuse-Green
Beige Ganesh,#cfb095,Light Gray Orange
Beige Green,#e0d8b0,Light Gray Yellow
Beige Intenso,#c5a88d,Light Gray Orange
Beige Intuition,#987a5b,Gray Orange
Beige Linen,#e2dac6,Light Gray Amber-Orange
Beige Red,#de9408,Bright Amber-Orange
Beige Royal,#cfc8b8,Light Gray Amber-Orange
Beige Topaz,#ffc87c,Bright Amber-Orange
Beijing Blue,#3e7daa,Muted Turquoise
Beijing Moon,#a9a2a3,Light Gray
Bejewelled,#25a26f,Deep Teal
Bel Air Blue,#819ac1,Light Gray Turquoise
Bel Esprit,#9bbcc3,Light Gray Cyan
Belfast,#558d4f,Muted Green
Belgian Block,#9ba29e,Gray Teal
Belgian Blonde,#f7efd0,Light Muted Yellow
Belgian Cream,#f9f1e2,Light Gray Orange
Belgian Sweet,#8d7560,Gray Orange
Belgian Waffle,#f3dfb6,Light Muted Amber-Orange
Believable Buff,#dbc7a8,Light Gray Amber-Orange
Belize,#7fd3d3,Light Muted Cyan
Belize Green,#b9c3b3,Light Gray Green-Yellow
Bell Blue,#618b97,Gray Cyan
Bell Heather,#a475b1,Gray Magenta
Bell Tower,#dad0bb,Light Gray Amber-Orange
Bella,#574057,Dark Gray Magenta
Bella Green,#93c3b1,Light Gray Teal
Bella Mia,#dac5bd,Light Gray Orange
Bella Pink,#e08194,Light Muted Red
Bella Sera,#40465d,Dark Gray Blue
Bella Vista,#0b695b,Deep Teal
Belladonna,#220011,Dark Rose
Belladonna’s Leaf,#adc3a7,Light Gray Green-Yellow
Bellagio Fountains,#b7dff3,Light Muted Turquoise
Belle of the Ball,#e3cbc0,Light Gray Orange
Bellflower,#5d66aa,Muted Blue
Bellflower Blue,#e1e9ef,Light Gray Turquoise
Bellflower Violet,#b2a5b7,Gray Magenta
Bellini,#f4c9b1,Light Muted Orange
Bellini Fizz,#f5c78e,Bright Amber-Orange
Bells and Whistles Gold,#ede3a1,Light Muted Yellow
Belly Fire,#773b38,Muted Red
Belly Flop,#00817f,Deep Cyan
Belmont Green,#626a60,Gray Green-Yellow
Beloved Pink,#e9d3d4,Light Gray Red
Beloved Sunflower,#ffba24,Bright Amber-Orange
Below the Surface,#0a2f7c,Deep Blue
Below Zero,#87cded,Bright Turquoise
Beluga,#eff2f1,Light Gray Teal
Belvedere Cream,#e3dbc3,Light Gray Amber-Orange
Belyi White,#f0f1e1,Light Gray Yellow
Benevolence,#694977,Muted Purple
Benevolent Pink,#dd1188,Bright Pink
Bengal,#cc974d,Light Muted Amber-Orange
Bengal Blue,#38738b,Muted Turquoise
Bengal Grass,#8e773f,Muted Amber-Orange
Bengala Red,#8f2e14,Deep Red
Bengara Red,#913225,Deep Red
Beni Shoga,#b85241,Light Muted Red
Benifuji,#bb7796,Light Muted Rose
Benihi Red,#f35336,Bright Red
Benikakehana Purple,#5a4f74,Gray Purple
Benikeshinezumi Purple,#44312e,Dark Gray Red
Benimidori Purple,#78779b,Gray Blue
Benitoite,#007baa,Deep Turquoise
Beniukon Bronze,#fb8136,Bright Orange
Benthic Black,#000011,Dark Blue
Bento Box,#cc363c,Light Muted Red
Benzol Green,#00d973,Bright Teal
Berber,#d8cfb6,Light Gray Amber-Orange
Bergamot,#95c703,Bright Chartreuse-Green
Bergamot Orange,#f59d59,Bright Orange
Bering Sea,#4b596e,Gray Turquoise
Bering Wave,#3d6d84,Muted Turquoise
Berkeley Hills,#7e613f,Muted Orange
Berkshire Lace,#f0e1cf,Light Gray Orange
Berlin Blue,#5588cc,Light Muted Turquoise
Bermuda,#1b7d8d,Deep Cyan
Bermuda Blue,#8cb1c2,Light Gray Cyan
Bermuda Grass,#a19f79,Gray Yellow
Bermuda Grey,#6b8ba2,Gray Turquoise
Bermuda Onion,#9d5a8f,Muted Pink
Bermuda Sand,#dacbbf,Light Gray Orange
Bermuda Shell,#f9eee3,Light Gray Orange
Bermuda Son,#f0e9be,Light Muted Yellow
Bermuda Triangle,#6f8c9f,Gray Turquoise
Bermudagrass,#6bc271,Light Muted Green
Bermudan Blue,#386171,Muted Turquoise
Bern Red,#e20909,Bright Red
Berries and Cream,#9e6a75,Gray Red
Berries n Cream,#f2b8ca,Light Gray Rose
Berry,#990f4b,Deep Rose
Berry Blackmail,#662277,Muted Purple
Berry Blast,#ff017f,Bright Rose
Berry Bliss,#9e8295,Gray Pink
Berry Blue,#32607a,Muted Turquoise
Berry Blue Green,#264b56,Dark Muted Turquoise
Berry Blush,#b88591,Light Gray Red
Berry Boost,#bb5588,Light Muted Rose
Berry Bright,#a08497,Gray Pink
Berry Brown,#544f4c,Dark Gray Orange
Berry Burst,#ac72af,Gray Magenta
Berry Bush,#77424e,Muted Red
Berry Butter,#efcedc,Light Gray Rose
Berry Chalk,#a6aebb,Gray Blue
Berry Charm,#4f4763,Gray Purple
Berry Cheesecake,#f8e3dd,Light Gray Orange
Berry Chocolate,#3f000f,Dark Red
Berry Conserve,#765269,Gray Pink
Berry Cream,#9a8ca2,Gray Purple
Berry Crush,#aa6772,Muted Red
Berry Curious,#9b1c5d,Deep Rose
Berry Frappé,#b3a1c6,Light Gray Purple
Berry Frost,#ebded7,Light Gray Orange
Berry Good,#edc3c5,Light Gray Red
Berry Jam,#655883,Gray Purple
Berry Light,#673b66,Muted Magenta
Berry Mix,#555a90,Muted Blue
Berry Mojito,#b6caca,Light Gray Teal
Berry Patch,#84395d,Muted Rose
Berry Pie,#4f6d8e,Muted Turquoise
Berry Popsicle,#d6a5cd,Light Gray Pink
Berry Riche,#e5a2ab,Light Muted Red
Berry Rossi,#992244,Deep Rose
Berry Smoothie,#895360,Gray Rose
Berry Syrup,#64537c,Gray Purple
Berry Wine,#624d55,Gray Rose
Berrylicious,#d75e6c,Light Muted Red
Berta Blue,#45dcff,Bright Turquoise
Beru,#bfe4d4,Light Gray Teal
Berwick Berry,#7082a4,Gray Blue
Beryl Black Green,#2b322d,Dark Gray Green
Beryl Green,#bcbfa8,Light Gray Chartreuse-Green
Beryl Pearl,#e2e3df,Light Gray Chartreuse-Green
Beryl Red,#a16381,Gray Rose
Beryllonite,#e9e5d7,Light Gray Yellow
Bespoke,#d4ba9d,Light Gray Orange
Bessie,#685e5b,Dark Gray
Best Beige,#c6b49c,Light Gray Amber-Orange
Best Bronze,#5d513e,Dark Muted Amber-Orange
Best in Show,#b9b7bd,Gray Purple
Best of Summer,#f7f2d9,Light Gray Yellow
Best of the Bunch,#bd5442,Light Muted Red
Bestial Blood,#cd343d,Light Muted Red
Bestial Brown,#6b3900,Deep Orange
Bestial Red,#992211,Deep Red
Bestigor,#d38a57,Light Muted Orange
Betalain Red,#7d655c,Gray Orange
Betel Nut Dye,#352925,Dark Gray Red
Bethany,#cadbbd,Light Gray Green-Yellow
Bethlehem Red,#ee0022,Bright Red
Bethlehem Superstar,#eaeeda,Light Gray Chartreuse-Green
Betsy,#73c9d9,Light Muted Cyan
Betta Fish,#3a6b66,Muted Teal
Better Than Beige,#ebe2cb,Light Gray Amber-Orange
Beurre Blanc,#ede1be,Light Gray Amber-Orange
Beveled Glass,#7accb8,Light Muted Teal
Beveled Grass,#75ac16,Deep Chartreuse-Green
Bewitched,#6a393c,Muted Red
Bewitching,#75495e,Muted Rose
Bewitching Blue,#bbd0e3,Light Gray Turquoise
Beyond the Clouds,#aaeeff,Bright Turquoise
Beyond the Pines,#688049,Muted Chartreuse-Green
Beyond the Stars,#0a3251,Dark Turquoise
Beyond the Wall,#d7e0eb,Light Gray Turquoise
Bff,#dbb0d3,Light Gray Pink
Bhūrā Brown,#947706,Deep Amber-Orange
Białowieża Forest,#1c5022,Dark Muted Green
Bianca,#f4efe0,Light Gray Amber-Orange
Bianchi Green,#3dcfc2,Light Muted Teal
Bicycle Yellow,#ffe58c,Bright Amber-Orange
Bicyclette,#802c3a,Muted Red
Bidwell Blue,#a9b9b5,Gray Teal
Bidwell Brown,#b19c8f,Gray Orange
Biedermeier Blue,#507ca0,Muted Turquoise
Biel-Tan Green,#1ba169,Deep Teal
Bierwurst,#f0908d,Bright Red
Big Band,#afaba0,Gray Amber-Orange
Big Bang Pink,#ff0099,Bright Pink
Big Bus Yellow,#ffda8b,Bright Amber-Orange
Big Chill,#7ecbe2,Light Muted Cyan
Big Cypress,#b98675,Light Muted Orange
Big Daddy Blue,#5d6b75,Gray Turquoise
Big Dip O’Ruby,#9c2542,Deep Rose
Big Dipper,#41494b,Dark Gray Teal
Big Fish,#99a38e,Gray Chartreuse-Green
Big Fish to Fry,#dadbe1,Light Gray Blue
Big Foot Feet,#e88e5a,Bright Orange
Big Horn Mountains,#b79e94,Gray Orange
Big Ocean Wave,#34708f,Muted Turquoise
Big Sky,#cde2de,Light Gray Teal
Big Spender,#acddaf,Light Gray Green
Big Stone,#334046,Dark Gray Turquoise
Big Stone Beach,#886e54,Gray Orange
Big Sur,#b3cadc,Light Gray Turquoise
Big Sur Blue Jade,#3f6e8e,Muted Turquoise
Big Surf,#96d0d1,Light Gray Cyan
Big Yellow Streak,#ffee22,Bright Yellow
Big Yellow Taxi,#ffff33,Bright Yellow
Bigfoot,#715145,Gray Orange
Bighorn Sheep,#20120e,Dark Muted Red
Bijou Blue,#4e5e7f,Muted Blue
Bijou Red,#a33d3b,Muted Red
Bijoux Green,#676b55,Gray Chartreuse-Green
Biking Red,#7b222a,Deep Red
Biking Trail,#c3c0b1,Light Gray Yellow
Bilbao,#3e8027,Muted Green-Yellow
Bilberry,#71777e,Gray Turquoise
Bile,#b5c306,Bright Yellow
Bilious Brown,#e39f08,Bright Amber-Orange
Bilious Green,#a9d171,Light Muted Chartreuse-Green
Billabong,#1b6f81,Deep Turquoise
Billet,#ad7c35,Light Muted Amber-Orange
Billiard,#00af9f,Deep Teal
Billiard Ball,#276b40,Dark Muted Green
Billiard Green,#305a4a,Dark Muted Teal
Billiard Room,#50846e,Gray Teal
Billiard Table,#155843,Dark Teal
Billiards Cloth,#01b44c,Bright Green
Billowing Clouds,#d8dee3,Light Gray Turquoise
Billowing Sail,#d2e3e3,Light Gray Teal
Billowing Smoke,#6e726a,Gray Chartreuse-Green
Billowy,#c0c6bc,Light Gray Green-Yellow
Billowy Breeze,#afc7cd,Light Gray Cyan
Billowy Clouds,#f6f0e9,Light Gray Orange
Billowy Down,#eff0e9,Light Gray Chartreuse-Green
Billycart Blue,#4c77a4,Muted Turquoise
Biloba Flower,#ae99d2,Light Gray Purple
Biloxi,#f4e4cd,Light Gray Orange
Biloxi Blue,#0075b8,Bright Turquoise
Biltmore Buff,#e3c9a1,Light Muted Amber-Orange
Biltong,#410200,Dark Red
Bimini Blue,#007a91,Deep Turquoise
Binary Star,#616767,Gray Cyan
Bindi Dot,#8b3439,Muted Red
Bindi Red,#b0003c,Bright Rose
Bing Cherry Pie,#af4967,Muted Rose
Binrouji Black,#433d3c,Dark Gray Red
Bio Blue,#465f9e,Muted Blue
Biogenic Sand,#ffefd5,Bright Amber-Orange
Biohazard Suit,#fbfb4c,Bright Yellow
Biology Experiments,#91a135,Light Muted Chartreuse-Green
Bioluminescence,#55eeff,Bright Cyan
Biopunk,#66ff55,Bright Green
BioShock,#889900,Deep Yellow
Biotic Grasp,#eeee44,Bright Yellow
Biotic Orb,#eedd55,Bright Yellow
Birch,#3f3726,Dark Muted Amber-Orange
Birch Beige,#d9c3a1,Light Gray Amber-Orange
Birch Forest,#899a8b,Gray Green
Birch Leaf Green,#637e1d,Deep Chartreuse-Green
Birch Strain,#dfb45f,Light Muted Amber-Orange
Birch White,#f6eedf,Light Gray Amber-Orange
Birchwood,#ccbeac,Light Gray Amber-Orange
Birchy Woods,#806843,Muted Orange
Bird Bath Blue,#cddfe7,Light Gray Turquoise
Bird Blue,#7b929e,Gray Turquoise
Bird Blue Grey,#7f92a0,Gray Turquoise
Bird Flower,#d0c117,Bright Yellow
Bird Of Paradise,#0083a8,Deep Turquoise
Bird’s Child,#fff1cf,Bright Amber-Orange
Bird’s Egg Green,#aaccb9,Light Gray Green
Bird’s Eye,#b9030a,Bright Red
Bird’s Nest,#cfbb9b,Light Gray Amber-Orange
Birdhouse Brown,#6c483a,Dark Muted Orange
Birdie,#e9e424,Bright Yellow
Birdie Num Num,#89acda,Light Muted Turquoise
Birdseed,#e2c28e,Light Muted Amber-Orange
Birdseye,#ab823d,Muted Orange
Birdseye Maple,#e4c495,Light Muted Amber-Orange
Biro Blue,#2f3946,Dark Gray Turquoise
Birōdo Green,#224634,Dark Muted Teal
Birth of a Star,#fce9df,Bright Orange
Birth of Venus,#f6ebc2,Light Muted Yellow
Birthday Cake,#e9d2cc,Light Gray Orange
Birthday Candle,#cfa2ad,Light Gray Red
Birthday King,#9bdcb9,Light Gray Green
Birthday Suit,#e2c7b6,Light Gray Orange
Birthstone,#79547a,Gray Magenta
Biscay,#2f3c53,Dark Muted Blue
Biscay Bay,#097988,Deep Cyan
Biscay Green,#55c6a9,Light Muted Teal
Biscotti,#d8c3a7,Light Gray Amber-Orange
Biscuit,#feedca,Bright Amber-Orange
Biscuit Beige,#e6bfa6,Light Gray Orange
Biscuit Cream,#f9ccb7,Bright Orange
Biscuit Dough,#e8dbbd,Light Gray Amber-Orange
Bishop Red,#c473a9,Light Muted Pink
Bismarck,#486c7a,Muted Turquoise
Bison,#6e4f3a,Dark Muted Orange
Bison Beige,#9f9180,Gray Orange
