name,hex,basic name
Jasper Orange,#de8f4e,Bright Amber-Orange
Jasper Park,#4a6558,Gray Teal
Jasper Red,#fa2b00,Bright Red
Jasper Stone,#8d9e97,Gray Teal
Java,#259797,Deep Cyan
Jay Bird,#50859e,Muted Turquoise
Jay Wing Feathers,#7994b5,Gray Turquoise
Jazlyn,#464152,Dark Gray Purple
Jazz,#5f2c2f,Dark Muted Red
Jazz Age Blues,#3b4a6c,Muted Blue
Jazz Age Coral,#f1bfb1,Light Muted Orange
Jazz Blue,#1a6a9f,Deep Turquoise
Jazz Tune,#9892a8,Gray Purple
Jazzberry Jam,#674247,Muted Red
Jazzercise,#b6e12a,Bright Chartreuse-Green
Jazzy,#c31e4e,Bright Rose
Jazzy Jade,#55ddcc,Light Muted Teal
Je t’aime,#b36b92,Muted Rose
Jealous Jellyfish,#bb0099,Bright Pink
Jealousy,#7fab60,Muted Green-Yellow
Jean Jacket Blue,#7b90a2,Gray Turquoise
Jeans Indigo,#6d8994,Gray Turquoise
Jedi Night,#041108,Dark Green
Jefferson Cream,#f1e4c8,Light Gray Amber-Orange
Jelly Bean,#44798e,Muted Turquoise
Jelly Berry,#ee1177,Bright Rose
Jelly Slug,#de6646,Bright Red
Jelly Yogurt,#ede6d9,Light Gray Amber-Orange
Jellybean Pink,#9b6575,Gray Rose
Jellyfish Blue,#95cad0,Light Gray Cyan
Jellyfish Sting,#ee6688,Bright Rose
Jemima,#f6d67f,Bright Amber-Orange
Jerboa,#dfb886,Light Muted Amber-Orange
Jericho Jade,#4d8681,Muted Teal
Jersey Cream,#f5debb,Light Muted Amber-Orange
Jess,#25b387,Bright Teal
Jester Red,#ac112c,Deep Red
Jet,#343434,Dark Gray Red
Jet Black,#353337,Dark Gray Purple
Jet d’Eau,#d1eaec,Light Gray Cyan
Jet Fuel,#575654,Dark Gray Amber-Orange
Jet Grey,#9d9a9a,Gray
Jet Set,#2f3734,Dark Gray Teal
Jet Ski,#5492af,Muted Turquoise
Jet Stream,#bbd0c9,Light Gray Teal
Jet White,#f2ede2,Light Gray Amber-Orange
Jetski Race,#005d96,Deep Turquoise
Jeune Citron,#a6d40d,Bright Chartreuse-Green
Jewel,#136843,Dark Teal
Jewel Beetle,#8cc90b,Bright Chartreuse-Green
Jewel Caterpillar,#d374d5,Light Muted Magenta
Jewel Cave,#3c4173,Muted Blue
Jewel Weed,#46a795,Muted Teal
Jewel White,#cfeee1,Light Gray Teal
Jewellery White,#ced6e6,Light Gray Turquoise
Jewett White,#e6ddca,Light Gray Amber-Orange
Jigglypuff,#ffaaff,Bright Magenta
Jimbaran Bay,#3d5d64,Dark Muted Cyan
Jīn Huáng Gold,#f5d565,Bright Amber-Orange
Jīn Sè Gold,#a5a502,Deep Yellow
Jīn Zōng Gold,#8e7618,Deep Amber-Orange
Jinza Safflower,#ee827c,Bright Red
Jinzamomi Pink,#f7665a,Bright Red
Jitterbug,#bac08a,Light Gray Chartreuse-Green
Jitterbug Jade,#019d6e,Deep Teal
Jitterbug Lure,#8db0ad,Gray Teal
Jittery Jade,#77eebb,Bright Teal
Job’s Tears,#005b7a,Deep Turquoise
Jocose Jade,#77cc99,Light Muted Green
Jocular Green,#cce2ca,Light Gray Green
Jodhpur Blue,#9bd7e9,Light Muted Cyan
Jodhpur Tan,#dad1c8,Light Gray Amber-Orange
Jodhpurs,#ebdcb6,Light Gray Amber-Orange
Jogging Path,#c0b9a9,Light Gray Amber-Orange
John Lemon,#eeff22,Bright Yellow
Joie De Vivre,#bc86af,Light Gray Pink
Jojoba,#d9bd7d,Light Muted Amber-Orange
Jokaero Orange,#ea5505,Bright Orange
Joker’s Smile,#d70141,Bright Rose
Jolly Green,#5e774a,Muted Green-Yellow
Jolly Jade,#77ccbb,Light Muted Teal
Jolt of Jade,#4abca0,Light Muted Teal
Jonquil,#eef293,Bright Yellow
Jonquil Trail,#f7d395,Bright Amber-Orange
Jordan Jazz,#037a3b,Deep Teal
Jordy Blue,#7aaae0,Light Muted Turquoise
Josephine,#d3c3be,Light Gray Orange
Joshua Tree,#7fb377,Gray Green
Journal White,#e6d3b2,Light Gray Amber-Orange
Journey to the Sky,#cdeced,Light Gray Cyan
Journey’s End,#bac9d4,Light Gray Turquoise
Joust Blue,#55aaff,Bright Turquoise
Jovial,#eeb9a7,Light Muted Orange
Jovial Jade,#88ddaa,Light Muted Green
Joyful,#f6eec0,Bright Yellow
Joyful Lilac,#e4d4e2,Light Gray Magenta
Joyful Orange,#fa9335,Bright Orange
Joyful Poppy,#ebada5,Light Muted Red
Joyful Ruby,#503136,Dark Muted Red
Joyful Tears,#006669,Deep Cyan
Joyous,#ffeeb0,Bright Amber-Orange
Joyous Red,#ae2719,Deep Red
Joyous Song,#5b365e,Dark Muted Magenta
Jú Huáng Tangerine,#f9900f,Bright Orange
Jube,#4b373c,Dark Gray Red
Jube Green,#78cf86,Light Muted Green
Jubilant Jade,#44aa77,Muted Teal
Jubilant Meadow,#7bb92b,Light Muted Chartreuse-Green
Jubilation,#fbdd24,Bright Yellow
Jubilee,#7e6099,Gray Purple
Jubilee Grey,#7c7379,Gray Pink
Judah Silk,#473739,Dark Gray Red
Judge Grey,#5d5346,Dark Gray Orange
Jugendstil Green,#c3c8b3,Light Gray Chartreuse-Green
Jugendstil Pink,#9d6375,Gray Rose
Jugendstil Turquoise,#5f9b9c,Gray Cyan
Juggernaut,#255367,Dark Muted Turquoise
Juice Violet,#442238,Dark Muted Pink
Juicy Details,#d9787c,Light Muted Red
Juicy Fig,#7d6c4a,Muted Amber-Orange
Juicy Jackfruit,#eedd33,Bright Yellow
Juicy Lime,#b1cf5d,Light Muted Chartreuse-Green
Juicy Mango,#ffd08d,Bright Amber-Orange
Juicy Passionfruit,#f18870,Bright Red
Juicy Peach,#d99290,Light Muted Red
Julep,#57aa80,Muted Teal
Julep Green,#c7dbd9,Light Gray Teal
Jules,#a73940,Muted Red
July,#8bd2e3,Light Muted Cyan
July Ruby,#773b4a,Muted Rose
Jumbo,#878785,Gray Yellow
June,#9bc4d4,Light Gray Cyan
June Berry,#9b96b6,Gray Purple
June Bud,#bdda57,Light Muted Chartreuse-Green
June Bug,#264a48,Dark Muted Teal
June Bugs,#bb6633,Light Muted Orange
June Day,#ffe182,Bright Amber-Orange
June Ivy,#416858,Gray Teal
June Vision,#f1f1da,Light Gray Yellow
Juneberry,#775496,Muted Purple
Jungle,#00a466,Deep Teal
Jungle Adventure,#446d46,Muted Green
Jungle Book Green,#366c4e,Muted Green
Jungle Camouflage,#53665a,Dark Gray Green
Jungle Civilization,#69673a,Muted Yellow
Jungle Cloak,#686959,Gray Yellow
Jungle Cover,#565042,Dark Gray Amber-Orange
Jungle Expedition,#b49356,Light Muted Amber-Orange
Jungle Green,#048243,Deep Teal
Jungle Jam,#115511,Dark Green
Jungle Jewels,#58a64b,Muted Green
Jungle Juice,#a4c161,Light Muted Chartreuse-Green
Jungle Khaki,#c7bea7,Light Gray Amber-Orange
Jungle King,#4f4d32,Dark Muted Yellow
Jungle Mist,#b0c4c4,Light Gray Teal
Jungle Moss,#bdc3ac,Light Gray Chartreuse-Green
Jungle Noises,#36716f,Muted Cyan
Jungle Palm,#938326,Deep Yellow
Jungle Trail,#6d6f42,Muted Yellow
Jungle Vibes,#65801d,Deep Chartreuse-Green
Juniper,#74918e,Gray Teal
Juniper Ash,#798884,Gray Teal
Juniper Berries,#547174,Gray Cyan
Juniper Berry,#b9b3c2,Light Gray Purple
Juniper Berry Blue,#3f626e,Muted Turquoise
Juniper Breeze,#d9e0d8,Light Gray Green
Juniper Green,#567f69,Gray Teal
Juniper Oil,#6b8b75,Gray Green
Junket,#fbecd3,Bright Amber-Orange
Junkrat,#998778,Gray Orange
Jupiter,#e1e1e2,Light Gray Blue
Jupiter Brown,#ac8181,Gray Red
Jurassic Gold,#e6a351,Bright Amber-Orange
Jurassic Moss,#0d601c,Dark Green
Jurassic Park,#3c663e,Muted Green
Just a Fairytale,#6c5d97,Gray Purple
